,SGD Regressor,Lasso Regression,Lars Regression,Gaussian Regression
2022-03-31,61.144538039844896,61.144538039844896,61.144538039844896,61.144538039844896
2022-04-30,69.9710700330628,69.9710700330628,69.9710700330628,69.9710700330628
2022-05-31,73.49595009775626,73.49595009775626,73.49595009775626,73.49595009775626
2022-06-30,78.61839701906919,78.61839701906919,78.61839701906919,78.61839701906919
2022-07-31,79.6020525333716,79.6020525333716,79.6020525333716,79.6020525333716
2022-08-31,80.20759403832504,80.20759403832504,80.20759403832504,80.20759403832504
2022-09-30,83.45249360389727,83.45249360389727,83.45249360389727,83.45249360389727
2022-10-31,85.51478641840087,85.51478641840087,85.51478641840087,85.51478641840087
2022-11-30,84.38925996957872,84.38925996957872,84.38925996957872,84.38925996957872
2022-12-31,64.26959749617876,64.26959749617876,64.26959749617876,64.26959749617876
2023-01-31,57.682481034550534,57.682481034550534,57.682481034550534,57.682481034550534
2023-02-28,55.179828234970564,55.179828234970564,55.179828234970564,55.179828234970564
2023-03-31,50.50851073917786,50.50851073917786,50.50851073917786,50.50851073917786
2023-04-30,43.68416980735861,43.68416980735861,43.68416980735861,43.68416980735861
2023-05-31,39.5853009358633,39.5853009358633,39.5853009358633,39.5853009358633
2023-06-30,38.21351876469987,38.21351876469987,38.21351876469987,38.21351876469987
2023-07-31,47.83173331468586,47.83173331468586,47.83173331468586,47.83173331468586
2023-08-31,58.943533697632056,58.943533697632056,58.943533697632056,58.943533697632056
2023-09-30,61.52986464671548,61.52986464671548,61.52986464671548,61.52986464671548
2023-10-31,61.35701107011069,61.35701107011069,61.35701107011069,61.35701107011069
2023-11-30,60.843647825214894,60.78810821059819,60.29468147321828,60.11898870877796
2023-12-31,64.22516761959002,64.03717925615288,63.081339190221165,62.66151423761315
2024-01-31,61.35223131721681,61.197337092987205,59.65771285447039,58.952548348990355
2024-02-29,61.37187127781098,61.0411608345526,59.2533146848445,58.27494261454773
2024-03-31,62.92338808564901,62.38682824197874,60.3631936442997,59.08718337736183
2024-04-30,65.69991449486487,64.91523100976457,63.051481460192484,61.41445594132462
2024-05-31,71.82672369191316,70.86611569282188,68.77723743402146,66.78343123561217
2024-06-30,70.96459507131938,69.88449049834324,67.21701424979278,64.96160191488435
2024-07-31,61.406865610455874,60.169293728082664,57.24287435028257,54.81719286265259
2024-08-31,53.067594631109195,51.72126527096359,48.656797135855314,46.08963699833004
2024-09-30,51.263914254058406,49.73328367249139,46.5448228274862,43.73413408739506
2024-10-31,51.672722230149716,49.943006633698126,46.61074873633624,43.50335185333316
2024-11-30,53.13830874317937,51.289897283091435,48.14820057914713,44.88520269136165
2024-12-31,53.497785025099056,51.6186168379394,48.61030528647403,45.27638901388933
2025-01-31,53.16211202960548,51.28929024105504,48.299171779204066,44.9608000665096
2025-02-28,53.436758425733835,51.55780388026974,48.44471010403319,45.07961650660537
